Graph_File,Graph_Type,Vertices,Edges,Space_Complexity,Augmenting_s-t_Paths,Actual_Max_Flow,Computation_Time_Seconds
Random/random_v105_d80_18.txt,Random,105,8558,O(105+8558),171,3550,0.206285
Random/random_v106_d48_46.txt,Random,106,5242,O(106+5242),91,3688,0.064277
Random/random_v110_d76_27.txt,Random,110,8987,O(110+8987),238,4339,1.064805
Random/random_v120_d67_8.txt,Random,120,9288,O(120+9288),198,3685,0.787434
Random/random_v122_d31_29.txt,Random,122,4557,O(122+4557),87,1812,0.077680
Random/random_v123_d42_40.txt,Random,123,6060,O(123+6060),131,3095,0.372904
Random/random_v125_d77_1.txt,Random,125,11595,O(125+11595),237,7552,0.743286
Random/random_v126_d51_50.txt,Random,126,7768,O(126+7768),172,2344,0.621621
Random/random_v136_d62_35.txt,Random,136,11065,O(136+11065),215,3369,0.843747
Random/random_v136_d67_49.txt,Random,136,11919,O(136+11919),271,7061,1.477845
Random/random_v137_d55_5.txt,Random,137,10023,O(137+10023),199,3969,1.018144
Random/random_v138_d73_44.txt,Random,138,13438,O(138+13438),227,5634,0.646143
Random/random_v142_d78_39.txt,Random,142,15254,O(142+15254),280,7255,1.701041
Random/random_v143_d45_32.txt,Random,143,8813,O(143+8813),138,3031,0.215033
Random/random_v143_d60_23.txt,Random,143,11936,O(143+11936),228,3112,0.787138
Random/random_v147_d58_28.txt,Random,147,12194,O(147+12194),248,7273,0.961972
Random/random_v17_d44_30.txt,Random,17,107,O(17+107),12,313,0.000000
Random/random_v17_d60_26.txt,Random,17,149,O(17+149),23,453,0.000000
Random/random_v17_d71_13.txt,Random,17,170,O(17+170),26,370,0.016720
Random/random_v22_d45_7.txt,Random,22,181,O(22+181),16,526,0.002682
Random/random_v23_d70_42.txt,Random,23,318,O(23+318),26,317,0.001986
Random/random_v27_d44_48.txt,Random,27,302,O(27+302),24,1056,0.000000
Random/random_v27_d80_3.txt,Random,27,537,O(27+537),50,1848,0.008799
Random/random_v33_d51_6.txt,Random,33,533,O(33+533),22,169,0.000000
Random/random_v33_d65_12.txt,Random,33,638,O(33+638),49,1353,0.007303
Random/random_v34_d59_19.txt,Random,34,626,O(34+626),40,746,0.004171
Random/random_v36_d41_36.txt,Random,36,503,O(36+503),34,1033,0.006783
Random/random_v46_d63_11.txt,Random,46,1242,O(46+1242),84,2816,0.013143
